apk_name,active_name,raletive_class,id_or_bounds,xbot_colorSet,getColor
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,TextView,"[189,101][385,172]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,ImageButton,"[0,63][147,210]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,ImageView,com.galaxy.funnyappforu:id/btn_clear_cache,"['#B9B9B9', '#FAFAFA']","['#FAFAFA', '#B9B9B9']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,EditText,com.galaxy.funnyappforu:id/et_search,"['#9EE1FF', '#3DC2FF']","['#3DC2FF', '#9EE1FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,ImageButton,"[0,63][147,210]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[189,101][450,172]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[32,247][218,298]","['#9EE1FF', '#3DC2FF']","['#3DC2FF', '#9EE1FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[282,247][419,298]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[483,247][661,298]","['#9EE1FF', '#3DC2FF']","['#3DC2FF', '#9EE1FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[725,247][891,298]","['#9EE1FF', '#3DC2FF']","['#3DC2FF', '#9EE1FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,TextView,"[955,247][1080,298]","['#9EE1FF', '#3DC2FF']","['#3DC2FF', '#9EE1FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,ImageButton,"[0,63][147,210]","['#FFFFFF', '#3DC2FF']","['#3DC2FF', '#FFFFFF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,ImageView,com.galaxy.funnyappforu:id/img_wallpaper,"['#4A96BA', '#82B2C9']","['#000000', '#000200']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,ImageView,"[109,535][251,677]","['#9A7D79', '#8C6F6B']","['#48515F', '#9EB8C3']"
