apk_name,active_name,contrast_type,id_or_bounds,raletive_class,raletive_xml,color_info
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Text contrast,de.p72b.bonitur:id/textView2,android.widget.TextView,"<node index=""0"" text=""Privacy policy"" resource-id=""de.p72b.bonitur:id/textView2"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,226][295,305]"" />","['#33B5E5', '#FAFAFA']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Text contrast,de.p72b.bonitur:id/textView4,android.widget.TextView,"<node index=""2"" text=""Support"" resource-id=""de.p72b.bonitur:id/textView4"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,485][173,574]"" />","['#33B5E5', '#FAFAFA']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Text contrast,de.p72b.bonitur:id/textView6,android.widget.TextView,"<node index=""5"" text=""Additional notes"" resource-id=""de.p72b.bonitur:id/textView6"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,805][349,894]"" />","['#33B5E5', '#FAFAFA']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Image contrast,"[0,213][1080,218]",android.widget.ImageView,"<node index=""1"" text="""" resource-id="""" class=""android.widget.ImageView"" package=""de.p72b.bonitur"" content-desc=""Bonitur"" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[0,213][1080,218]"" />","['#FFFFFF', '#FFFFFF']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Text contrast,de.p72b.bonitur:id/textView1,android.widget.TextView,"<node index=""0"" text=""Bonitur"" resource-id=""de.p72b.bonitur:id/textView1"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[105,81][276,144]"" />","['#FFFFFF', '#669900']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,Text contrast,de.p72b.bonitur:id/textView0,android.widget.TextView,"<node index=""1"" text=""Developed by Willy Riechert"" resource-id=""de.p72b.bonitur:id/textView0"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[105,144][581,195]"" /></node></node>","['#FFFFFF', '#669900']"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,Text contrast,"[42,101][214,172]",android.widget.TextView,"<node index=""0"" text=""Bonitur"" resource-id="""" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[42,101][214,172]"" />","['#FFFFFF', '#669900']"
com.polaz.fxcash,com.polaz.fxcashapp.PersonalInfoActivity,Text contrast,com.polaz.fxcashapp:id/btnSignin,android.widget.Button,"<node index=""5"" text=""Вход"" resource-id=""com.polaz.fxcashapp:id/btnSignin"" class=""android.widget.Button"" package=""com.polaz.fxcashapp"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[146,1417][934,1522]"" />","['#357CAB', '#D4D4D4']"
com.polaz.fxcash,com.polaz.fxcashapp.PersonalInfoActivity,Text contrast,com.polaz.fxcashapp:id/tvCreateAccount,android.widget.TextView,"<node index=""1"" text=""Создать&gt;"" resource-id=""com.polaz.fxcashapp:id/tvCreateAccount"" class=""android.widget.TextView"" package=""com.polaz.fxcashapp"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[644,1535][807,1586]"" /></node></node>","['#FF0000', '#F1F1F1']"
com.polaz.fxcash,com.polaz.fxcashapp.NewsActivity,Text contrast,com.polaz.fxcashapp:id/btnSignin,android.widget.Button,"<node index=""5"" text=""Вход"" resource-id=""com.polaz.fxcashapp:id/btnSignin"" class=""android.widget.Button"" package=""com.polaz.fxcashapp"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[146,1417][934,1522]"" />","['#357CAB', '#D4D4D4']"
