apk_name,active_name,contrast_type,id_or_bounds,raletive_class
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Text contrast,"[189,101][385,172]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Image contrast,"[0,63][147,210]",android.widget.ImageButton
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Image contrast,com.galaxy.funnyappforu:id/btn_clear_cache,android.widget.ImageView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,Text contrast,com.galaxy.funnyappforu:id/et_search,android.widget.EditText
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,Image contrast,"[0,63][147,210]",android.widget.ImageButton
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[189,101][450,172]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[32,247][218,298]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[282,247][419,298]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[483,247][661,298]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[725,247][891,298]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[955,247][1080,298]",android.widget.TextView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Image contrast,"[0,63][147,210]",android.widget.ImageButton
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Image contrast,com.galaxy.funnyappforu:id/img_wallpaper,android.widget.ImageView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Image contrast,"[109,535][251,677]",android.widget.ImageView
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Image contrast,"[469,535][611,677]",android.widget.ImageView
