apk_name,active_name,raletive_class,xbot_colorSet,getColor
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,TextView,"['#33B5E5', '#FAFAFA']","['#FAFAFA', '#33B5E5']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,TextView,"['#33B5E5', '#FAFAFA']","['#FAFAFA', '#33B5E5']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,TextView,"['#33B5E5', '#FAFAFA']","['#FAFAFA', '#33B5E5']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,TextView,"['#FFFFFF', '#669900']","['#669900', '#FFFFFF']"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,TextView,"['#FFFFFF', '#669900']","['#669900', '#FFFFFF']"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,TextView,"['#FFFFFF', '#669900']","['#669900', '#FFFFFF']"
com.polaz.fxcash,com.polaz.fxcashapp.PersonalInfoActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.PersonalInfoActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.NewsActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.NewsActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.SupportActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.SupportActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.MenuActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.MenuActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.AuthActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.AuthActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.HistoryBalanceActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.HistoryBalanceActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.OutputsActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.OutputsActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.polaz.fxcash,com.polaz.fxcashapp.TradingBillsActivity,Button,"['#357CAB', '#D4D4D4']","['#D4D4D4', '#4698CD']"
com.polaz.fxcash,com.polaz.fxcashapp.TradingBillsActivity,TextView,"['#FF0000', '#F1F1F1']","['#F1F1F1', '#F2F2F2']"
com.pascalfischer.myelly,com.pascalfischer.myelly.LoginView,EditText,"['#808080', '#EDEDED']","['#EDEDED', '#EEEEEE']"
com.pascalfischer.myelly,com.pascalfischer.myelly.LoginView,EditText,"['#808080', '#EFEFEF']","['#EFEFEF', '#EEEEEE']"
de.markusfisch.android.shadereditor,de.markusfisch.android.shadereditor.activity.MainActivity,TextView,"['#BCD8D1', '#207F66']","['#207F66', '#BCD8D1']"
com.diary.superdiary,com.diary.superdiary.addnewrecord,EditText,"['#808080', '#373737']","['#3F3F3F', '#3A3A3A']"
com.diary.superdiary,com.diary.superdiary.MainActivity,TextView,"['#64B801', '#434343']","['#434343', '#444444']"
com.diary.superdiary,com.diary.superdiary.MainActivity,TextView,"['#64B801', '#3F3F3F']","['#3F3F3F', '#404040']"
com.diary.superdiary,com.diary.superdiary.MainActivity,EditText,"['#0099CC', '#3B3B3B']","['#3B3B3B', '#3A3A3A']"
com.diary.superdiary,com.diary.superdiary.passwordchange,TextView,"['#64B801', '#434343']","['#434343', '#444444']"
com.diary.superdiary,com.diary.superdiary.passwordchange,TextView,"['#64B801', '#3F3F3F']","['#3F3F3F', '#404040']"
com.diary.superdiary,com.diary.superdiary.passwordchange,EditText,"['#0099CC', '#3B3B3B']","['#3B3B3B', '#3A3A3A']"
com.diary.superdiary,com.diary.superdiary.editdata,EditText,"['#808080', '#373737']","['#3F3F3F', '#3A3A3A']"
