apk_name,active_name,contrast_type,id_or_bounds,raletive_class,raletive_xml,color_info
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Text contrast,"[189,101][385,172]",android.widget.TextView,"<node index=""1"" text=""Settings"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[189,101][385,172]"" /></node>","['#FFFFFF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Image contrast,"[0,63][147,210]",android.widget.ImageButton,"<node index=""0"" text="""" resource-id="""" class=""android.widget.ImageButton"" package=""com.galaxy.funnyappforu"" content-desc=""Navigate up"" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[0,63][147,210]"" />","['#FFFFFF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySettings,Image contrast,com.galaxy.funnyappforu:id/btn_clear_cache,android.widget.ImageView,"<node NAF=""true"" index=""1"" text="""" resource-id=""com.galaxy.funnyappforu:id/btn_clear_cache"" class=""android.widget.ImageView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[953,266][1027,340]"" /></node></node>","['#B9B9B9', '#FAFAFA']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,Text contrast,com.galaxy.funnyappforu:id/et_search,android.widget.EditText,"<node index=""0"" text=""Search…"" resource-id=""com.galaxy.funnyappforu:id/et_search"" class=""android.widget.EditText"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""true"" scrollable=""false"" long-clickable=""true"" password=""false"" selected=""false"" bounds=""[147,63][1054,210]"" /></node></node></node>","['#9EE1FF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySearch,Image contrast,"[0,63][147,210]",android.widget.ImageButton,"<node index=""0"" text="""" resource-id="""" class=""android.widget.ImageButton"" package=""com.galaxy.funnyappforu"" content-desc=""Navigate up"" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[0,63][147,210]"" />","['#FFFFFF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[189,101][450,172]",android.widget.TextView,"<node index=""1"" text=""Galaxy s20"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[189,101][450,172]"" />","['#FFFFFF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[32,247][218,298]",android.widget.TextView,"<node index=""0"" text=""CATEGORY"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[32,247][218,298]"" /></node>","['#9EE1FF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[282,247][419,298]",android.widget.TextView,"<node index=""0"" text=""RECENT"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""true"" bounds=""[282,247][419,298]"" /></node>","['#FFFFFF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[483,247][661,298]",android.widget.TextView,"<node index=""0"" text=""FEATURED"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[483,247][661,298]"" /></node>","['#9EE1FF', '#3DC2FF']"
com.galaxy.funnyappforu,com.galaxy.funnyappforu.activities.ActivitySplash,Text contrast,"[725,247][891,298]",android.widget.TextView,"<node index=""0"" text=""POPULAR"" resource-id="""" class=""android.widget.TextView"" package=""com.galaxy.funnyappforu"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[725,247][891,298]"" /></node>","['#9EE1FF', '#3DC2FF']"
