apk_name,active_name,raletive_class,raletive_xml
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.ImageView,"<node index=""0"" text="""" resource-id=""de.p72b.bonitur:id/imageView1"" class=""android.widget.ImageView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[13,81][105,189]"" />"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.ScrollView,"<node index=""2"" text="""" resource-id="""" class=""android.widget.ScrollView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[0,218][1080,1121]"">"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.TextView,"<node index=""1"" text=""The app won't share any personal information or usage data to other persons or computer.&#10;Your files will be saved on local storage e.g. SD card. They aren't shared at any time unless you want it."" resource-id=""de.p72b.bonitur:id/textView3"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,305][1072,485]"" />"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.TextView,"<node index=""3"" text=""Do you have some ideas to improve the app? Or found an issue? Maybe you're interested in getting the code then check out the Bonitur GIT repository and pull a fork of it. &#10;Feel free to contact me:"" resource-id=""de.p72b.bonitur:id/textViewLink"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""true"" password=""false"" selected=""false"" bounds=""[8,574][1072,754]"" />"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.TextView,"<node index=""4"" text=""w.riechert@gmx.net"" resource-id=""de.p72b.bonitur:id/textView7"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,754][337,805]"" />"
de.p72b.bonitur,de.p72b.bonitur.ActivityAbout,android.widget.TextView,"<node index=""6"" text=""The app is developed in collaboration with students of the Albrecht Daniel Thaer-Institute of Agricultural and Horticultural Sciences of Humbold University Berlin. Special thanks goes to Virginia Marten."" resource-id=""de.p72b.bonitur:id/textView8"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[8,894][1072,1113]"" /></node></node></node></node></node></node></hierarchy>"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,android.support.v7.widget.LinearLayoutCompat,"<node index=""1"" text="""" resource-id="""" class=""android.support.v7.widget.LinearLayoutCompat"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""false"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[849,63][1080,210]"">"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,android.widget.TextView,"<node index=""0"" text="""" resource-id=""de.p72b.bonitur:id/action_new"" class=""android.widget.TextView"" package=""de.p72b.bonitur"" content-desc=""Create new"" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""true"" password=""false"" selected=""false"" bounds=""[849,73][975,199]"" />"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,android.widget.ImageView,"<node index=""1"" text="""" resource-id="""" class=""android.widget.ImageView"" package=""de.p72b.bonitur"" content-desc=""More options"" checkable=""false"" checked=""false"" clickable=""true"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[975,73][1080,199]"" /></node></node>"
de.p72b.bonitur,de.p72b.bonitur.ActivityMain,android.widget.HorizontalScrollView,"<node index=""1"" text="""" resource-id="""" class=""android.widget.HorizontalScrollView"" package=""de.p72b.bonitur"" content-desc="""" checkable=""false"" checked=""false"" clickable=""false"" enabled=""true"" focusable=""true"" focused=""false"" scrollable=""false"" long-clickable=""false"" password=""false"" selected=""false"" bounds=""[0,210][1080,336]"">"
